Scale,1 px = 0.02465 mm

Type,Index,Length (mm),dx (mm),dy (mm)
Pomiar do skali,1,50.00,50.00,0.09862
Pomiar,2,4.906,4.906,0.000
Pomiar,3,3.255,3.254,-0.02465
Pomiar,4,5.597,5.597,0.000
Pomiar,5,6.312,6.312,0.000
Pomiar,6,6.410,6.410,-0.02465
Pomiar,7,6.460,6.460,0.000
Pomiar,8,6.608,6.607,0.04931
Pomiar,9,6.188,6.188,0.000
Pomiar,10,5.646,5.646,0.04931
Pomiar,11,5.498,5.498,0.000
Pomiar,12,5.276,5.276,0.000
Pomiar,13,5.227,5.227,-0.02465
Pomiar,14,5.547,5.547,0.000
Pomiar,15,5.547,5.547,0.000
Pomiar,16,5.597,5.597,-0.02465
Pomiar,17,5.523,5.523,-0.02465
Pomiar,18,5.597,5.597,-0.04931
Pomiar,19,5.597,5.597,-0.02465
Pomiar,20,5.942,5.942,0.02465
Pomiar,21,6.213,6.213,0.02465
Pomiar,22,4.463,4.463,0.000
Pomiar,23,6.114,6.114,-0.02465
Pomiar,24,5.769,5.769,0.000
Pomiar,25,6.879,-6.879,0.02465
Pomiar,26,5.696,5.695,0.07396
Pomiar,27,5.868,5.868,0.000
Pomiar,28,6.114,-6.114,0.000
Pomiar,29,5.572,5.572,0.000
Pomiar,30,5.819,5.819,0.000
